name;code;active;region_id;created_at;updated_at
Gachalá;25293;1;11;2021-04-02;2021-04-02
Gachancipá;25295;1;11;2021-04-02;2021-04-02
Gachantivá;15293;1;5;2021-04-02;2021-04-02
Gachetá;25297;1;11;2021-04-02;2021-04-02
Galapa;08296;1;2;2021-04-02;2021-04-02
Galeras (Nueva Granada);70235;1;22;2021-04-02;2021-04-02
Galán;68296;1;21;2021-04-02;2021-04-02
Gama;25299;1;11;2021-04-02;2021-04-02
Gamarra;20295;1;9;2021-04-02;2021-04-02
Garagoa;15299;1;5;2021-04-02;2021-04-02
Garzón;41298;1;13;2021-04-02;2021-04-02
Gigante;41306;1;13;2021-04-02;2021-04-02
Ginebra;76306;1;24;2021-04-02;2021-04-02
Giraldo;05306;1;1;2021-04-02;2021-04-02
Girardot;25307;1;11;2021-04-02;2021-04-02
Girardota;05308;1;1;2021-04-02;2021-04-02
Girón;68307;1;21;2021-04-02;2021-04-02
Gonzalez;20310;1;9;2021-04-02;2021-04-02
Gramalote;54313;1;18;2021-04-02;2021-04-02
Granada;05313;1;1;2021-04-02;2021-04-02
Granada;25312;1;11;2021-04-02;2021-04-02
Granada;50313;1;16;2021-04-02;2021-04-02
Guaca;68318;1;21;2021-04-02;2021-04-02
Guacamayas;15317;1;5;2021-04-02;2021-04-02
Guacarí;76318;1;24;2021-04-02;2021-04-02
Guachavés;525570;1;17;2021-04-02;2021-04-02
Guachené;19300;1;8;2021-04-02;2021-04-02
Guachetá;25317;1;11;2021-04-02;2021-04-02
Guachucal;52317;1;17;2021-04-02;2021-04-02
Guadalupe;05315;1;1;2021-04-02;2021-04-02
Guadalupe;41319;1;13;2021-04-02;2021-04-02
Guadalupe;68320;1;21;2021-04-02;2021-04-02
Guaduas;25320;1;11;2021-04-02;2021-04-02
Guaitarilla;52320;1;17;2021-04-02;2021-04-02
Gualmatán;52323;1;17;2021-04-02;2021-04-02
Guamal;47318;1;15;2021-04-02;2021-04-02
Guamal;50318;1;16;2021-04-02;2021-04-02
Guamo;73319;1;23;2021-04-02;2021-04-02
Guapota;68322;1;21;2021-04-02;2021-04-02
Guapí;19318;1;8;2021-04-02;2021-04-02
Guaranda;70265;1;22;2021-04-02;2021-04-02
Guarne;05318;1;1;2021-04-02;2021-04-02
Guasca;25322;1;11;2021-04-02;2021-04-02
Guatapé;05321;1;1;2021-04-02;2021-04-02
Guataquí;25324;1;11;2021-04-02;2021-04-02
Guatavita;25326;1;11;2021-04-02;2021-04-02
Guateque;15322;1;5;2021-04-02;2021-04-02
Guavatá;68324;1;21;2021-04-02;2021-04-02
Guayabal de Siquima;25328;1;11;2021-04-02;2021-04-02
Guayabetal;25335;1;11;2021-04-02;2021-04-02
Guayatá;15325;1;5;2021-04-02;2021-04-02
Guepsa;68327;1;21;2021-04-02;2021-04-02
Guicán;15332;1;5;2021-04-02;2021-04-02
Gutiérrez;25339;1;11;2021-04-02;2021-04-02
Guática;66318;1;20;2021-04-02;2021-04-02
Gámbita;68298;1;21;2021-04-02;2021-04-02
Gámeza;15296;1;5;2021-04-02;2021-04-02
Génova;63302;1;19;2021-04-02;2021-04-02
Gómez Plata;05310;1;1;2021-04-02;2021-04-02
Hacarí;54344;1;18;2021-04-02;2021-04-02
Hatillo de Loba;13300;1;4;2021-04-02;2021-04-02
Hato;68344;1;21;2021-04-02;2021-04-02
Hato Corozal;85125;1;26;2021-04-02;2021-04-02
Hatonuevo;44378;1;14;2021-04-02;2021-04-02
Heliconia;05347;1;1;2021-04-02;2021-04-02
Herrán;54347;1;18;2021-04-02;2021-04-02
Herveo;73347;1;23;2021-04-02;2021-04-02
Hispania;05353;1;1;2021-04-02;2021-04-02
Hobo;41349;1;13;2021-04-02;2021-04-02
Honda;73349;1;23;2021-04-02;2021-04-02
Ibagué;73001;1;23;2021-04-02;2021-04-02
Icononzo;73352;1;23;2021-04-02;2021-04-02
Iles;52352;1;17;2021-04-02;2021-04-02
Imúes;52354;1;17;2021-04-02;2021-04-02
Inzá;19355;1;8;2021-04-02;2021-04-02
Inírida;94001;1;30;2021-04-02;2021-04-02
Ipiales;52356;1;17;2021-04-02;2021-04-02
Isnos;41359;1;13;2021-04-02;2021-04-02
Istmina;27361;1;12;2021-04-02;2021-04-02
Itagüí;05360;1;1;2021-04-02;2021-04-02
Ituango;05361;1;1;2021-04-02;2021-04-02
Izá;15362;1;5;2021-04-02;2021-04-02
Jambaló;19364;1;8;2021-04-02;2021-04-02
Jamundí;76364;1;24;2021-04-02;2021-04-02
Jardín;05364;1;1;2021-04-02;2021-04-02
Jenesano;15367;1;5;2021-04-02;2021-04-02
Jericó;05368;1;1;2021-04-02;2021-04-02
Jericó;15368;1;5;2021-04-02;2021-04-02
Jerusalén;25368;1;11;2021-04-02;2021-04-02
Jesús María;68368;1;21;2021-04-02;2021-04-02
Jordán;68370;1;21;2021-04-02;2021-04-02
Juan de Acosta;08372;1;2;2021-04-02;2021-04-02
Junín;25372;1;11;2021-04-02;2021-04-02
Juradó;27372;1;12;2021-04-02;2021-04-02
La Apartada y La Frontera;23350;1;10;2021-04-02;2021-04-02
La Argentina;41378;1;13;2021-04-02;2021-04-02
La Belleza;68377;1;21;2021-04-02;2021-04-02
La Calera;25377;1;11;2021-04-02;2021-04-02
La Capilla;15380;1;5;2021-04-02;2021-04-02
La Ceja;05376;1;1;2021-04-02;2021-04-02
La Celia;66383;1;20;2021-04-02;2021-04-02
La Cruz;52378;1;17;2021-04-02;2021-04-02
La Cumbre;76377;1;24;2021-04-02;2021-04-02
La Dorada;17380;1;6;2021-04-02;2021-04-02
La Esperanza;54385;1;18;2021-04-02;2021-04-02
La Estrella;05380;1;1;2021-04-02;2021-04-02
La Florida;52381;1;17;2021-04-02;2021-04-02
La Gloria;20383;1;9;2021-04-02;2021-04-02
La Jagua de Ibirico;20400;1;9;2021-04-02;2021-04-02
La Jagua del Pilar;44420;1;14;2021-04-02;2021-04-02
La Llanada;52385;1;17;2021-04-02;2021-04-02
La Macarena;50350;1;16;2021-04-02;2021-04-02
La Merced;17388;1;6;2021-04-02;2021-04-02
La Mesa;25386;1;11;2021-04-02;2021-04-02
La Montañita;18410;1;7;2021-04-02;2021-04-02
La Palma;25394;1;11;2021-04-02;2021-04-02
La Paz;68397;1;21;2021-04-02;2021-04-02
La Paz (Robles);20621;1;9;2021-04-02;2021-04-02
La Peña;25398;1;11;2021-04-02;2021-04-02
La Pintada;05390;1;1;2021-04-02;2021-04-02
La Plata;41396;1;13;2021-04-02;2021-04-02
La Playa;54398;1;18;2021-04-02;2021-04-02
La Primavera;99524;1;33;2021-04-02;2021-04-02
La Salina;85136;1;26;2021-04-02;2021-04-02
La Sierra;19392;1;8;2021-04-02;2021-04-02
La Tebaida;63401;1;19;2021-04-02;2021-04-02
La Tola;52390;1;17;2021-04-02;2021-04-02
La Unión;05400;1;1;2021-04-02;2021-04-02
La Unión;52399;1;17;2021-04-02;2021-04-02
La Unión;70400;1;22;2021-04-02;2021-04-02
La Unión;76400;1;24;2021-04-02;2021-04-02
La Uvita;15403;1;5;2021-04-02;2021-04-02
La Vega;19397;1;8;2021-04-02;2021-04-02
La Vega;25402;1;11;2021-04-02;2021-04-02
La Victoria;15401;1;5;2021-04-02;2021-04-02
La Victoria;91430;1;29;2021-04-02;2021-04-02
La Victoria;76403;1;24;2021-04-02;2021-04-02
La Virginia;66400;1;20;2021-04-02;2021-04-02
Labateca;54377;1;18;2021-04-02;2021-04-02
Labranzagrande;15377;1;5;2021-04-02;2021-04-02
Landázuri;68385;1;21;2021-04-02;2021-04-02
Lebrija;68406;1;21;2021-04-02;2021-04-02
Leiva;52405;1;17;2021-04-02;2021-04-02
Lejanías;50400;1;16;2021-04-02;2021-04-02
Lenguazaque;25407;1;11;2021-04-02;2021-04-02
Leticia;91001;1;29;2021-04-02;2021-04-02
Liborina;05411;1;1;2021-04-02;2021-04-02
Linares;52411;1;17;2021-04-02;2021-04-02
Lloró;27413;1;12;2021-04-02;2021-04-02
Lorica;23417;1;10;2021-04-02;2021-04-02
Los Córdobas;23419;1;10;2021-04-02;2021-04-02
Los Palmitos;70418;1;22;2021-04-02;2021-04-02
Los Patios;54405;1;18;2021-04-02;2021-04-02
Los Santos;68418;1;21;2021-04-02;2021-04-02
